geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
6412,-23.497835562081068,-46.88298195892088,barueri,SP
3707,-23.507041164897466,-46.54332428216681,sao paulo,SP
5406,-23.55575213466013,-46.67446254211961,são paulo,SP
99709,-27.66100705999997,-52.28539095499997,erechim,RS
31310,-19.8695664276935,-43.986149490305145,belo horizonte,MG
96770,-30.59740639666564,-51.75378566114182,cerro grande do sul,RS
18130,-23.53311739936141,-47.13636520779054,sao roque,SP
37501,-22.430667889783663,-45.43416474917089,itajuba,MG
64049,-5.060431226879147,-42.79244303434942,teresina,PI
20911,-22.899087618096825,-43.23812418927815,rio de janeiro,RJ
64053,-5.073101802501713,-42.75747257843306,teresina,PI
88160,-27.491174255266262,-48.655137010532535,biguacu,SC
58900,-6.893265685368644,-38.54583682850136,cajazeiras,PB
83602,-25.47720581328747,-49.54947900695458,campo largo,PR
53370,-7.989850561746257,-34.86005103136361,olinda,PE
88015,-27.589186550377956,-48.55336185749314,florianopolis,SC
20220,-22.894834630590317,-43.18629246681872,rio de janeiro,RJ
4367,-23.65250284762537,-46.66809535567546,são paulo,SP
27331,-22.55691069933447,-44.150331585667296,barra mansa,RJ
15895,-20.906248646542743,-49.26842882540205,cedral,SP
64804,-6.770409057676563,-43.01409504554493,floriano,PI
78455,-13.085433583393897,-55.91086325853989,lucas do rio verde,MT
9510,-23.611394231750257,-46.57126189301168,sao caetano do sul,SP
5546,-23.586056539269457,-46.76795801511922,sao paulo,SP
95180,-29.24326612494757,-51.34697740889244,farroupilha,RS
7909,-23.287561434866195,-46.7472779073959,francisco morato,SP
13205,-23.248808989179956,-46.850808908679134,jundiai,SP
70338,-15.802447500000005,-47.89163925,brasilia,DF
89865,-26.90164589024936,-52.90727255297837,nova erechim,SC
6020,-23.53390455494421,-46.76068598979643,osasco,SP
5421,-23.566782698309176,-46.69077481571351,sao paulo,SP
3646,-23.52342016403137,-46.53006098265909,sao paulo,SP
48611,-9.37877791978522,-38.23104862204778,paulo afonso,BA
5849,-23.651114842510157,-46.75521082321932,sao paulo,SP
3585,-23.55989029087078,-46.48964243935025,sao paulo,SP
59031,-5.804880170696479,-35.210498721334226,natal,RN
21540,-22.848506255900496,-43.34135853649948,rio de janeiro,RJ
90610,-30.049385050781986,-51.20075328005073,porto alegre,RS
58042,-7.120479946194335,-34.847040399532126,joao pessoa,PB
20230,-22.914044644180308,-43.18230254232787,rio de janeiro,RJ
12323,-23.321956913959276,-45.982996732442736,jacarei,SP
58103,-7.002283417046451,-34.83013333189138,cabedelo,PB
4714,-23.632693819034685,-46.69827511807522,sao paulo,SP
40725,-12.865884536889029,-38.4746795886935,salvador,BA
31515,-19.826454300447867,-43.96695849116693,belo horizonte,MG
14403,-20.56066402659196,-47.39662137699117,franca,SP
35931,-19.8402892906383,-43.19156865698298,joao monlevade,MG
22630,-23.00788912101101,-43.334463714813374,rio de janeiro,RJ
78500,-10.814890937214688,-55.45288762498375,colider,MT
30493,-19.97485632777431,-43.96587960629584,belo horizonte,MG
31748,-19.8076860313636,-43.92862916570483,belo horizonte,MG
85555,-26.49171537732586,-51.99137317841668,palmas,PR
91750,-30.12831805689883,-51.20583311463438,porto alegre,RS
38703,-18.58114683404142,-46.49569647339097,patos de minas,MG
76864,-9.367131425048791,-62.58165907682626,cujubim,RO
85010,-25.38537620228552,-51.47023466816962,guarapuava,PR
45325,-13.105979999999994,-39.79281825,brejoes,BA
1223,-23.544707543424398,-46.64514974562872,sao paulo,SP
88061,-27.57536039107843,-48.42585809908247,florianopolis,SC
77824,-7.180410237432105,-48.22037695696618,araguaina,TO
14706,-20.93743098919268,-48.49893960674954,bebedouro,SP
39804,-17.867405583805734,-41.52353905664773,teofilo otoni,MG
11701,-24.013554844964432,-46.41971596259816,praia grande,SP
21235,-22.83377814197452,-43.32416055805429,rio de janeiro,RJ
36887,-21.127722317790983,-42.40096526894223,muriae,MG
53050,-7.969752116279156,-34.83938217040803,olinda,PE
24130,-22.8813535434244,-43.08171305245543,niteroi,RJ
4313,-23.642132605055085,-46.640501649316185,sao paulo,SP
83323,-25.44214534499965,-49.1994222423105,pinhais,PR
3525,-23.550709589503185,-46.513499337642045,são paulo,SP
26298,-22.835532337568964,-43.60744980299447,nova iguacu,RJ
6714,-23.597330218968303,-46.8766514109295,cotia,SP
15093,-20.852102908819766,-49.41834111193263,são josé do rio preto,SP
9080,-23.642685447715326,-46.54364186192882,santo andre,SP
1227,-23.537290101005617,-46.6544308936015,sao paulo,SP
4348,-23.64575947905241,-46.65050767361068,sao paulo,SP
8633,-23.56869131441261,-46.32496534325951,suzano,SP
97010,-29.67993920927345,-53.8050654225576,santa maria,RS
14570,-20.195142728675528,-47.710969118439856,buritizal,SP
15110,-20.797167233445176,-49.22521813609393,guapiacu,SP
23076,-22.88617141326678,-43.57569185068379,rio de janeiro,RJ
21775,-22.88055872548918,-43.44551487108313,rio de janeiro,RJ
59318,-6.661383162122287,-37.39013960957048,serra negra do norte,RN
23525,-22.947459295861023,-43.68115271650822,rio de janeiro,RJ
1504,-23.57310994976627,-46.64012396918465,são paulo,SP
20941,-22.904541733827728,-43.217971836805326,rio de janeiro,RJ
85810,-24.95397353952925,-53.46500041173757,cascavel,PR
18710,-23.134777922940643,-49.05287046020279,arandu,SP
3641,-23.525166719401,-46.53662341326677,sao paulo,SP
27281,-22.50190946655892,-44.11053077546311,volta redonda,RJ
38411,-18.933832447917315,-48.282976662396464,uberlandia,MG
38410,-18.95429824701369,-48.231299839027024,uberlândia,MG
36033,-21.782269215101827,-43.36501077254892,juiz de fora,MG
83303,-25.42471825196389,-49.08108432384139,piraquara,PR
97576,-30.88987217815677,-55.49219251456286,santana do livramento,RS
16207,-21.30431420437884,-50.37425707954847,birigui,SP
85660,-25.76468638403388,-53.07436047449257,dois vizinhos,PR
63300,-6.755386742362436,-38.96694518611535,lavras da mangabeira,CE
45000,-14.846054363869769,-40.84537490536092,vitoria da conquista,BA
22461,-22.959623415177656,-43.2079170800117,rio de janeiro,RJ
